YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,5,8,"SAN LUIS - Capital",1903/05/08,764.6,0.7,14,,21,12,89,,,C,1,,,,,,,,,,,,
1903,5,9,"SAN LUIS - Capital",1903/05/09,762.5,-2.1,14,0,22,12,89,NE,2,,0,,,,,,,,,,,,
1903,5,10,"SAN LUIS - Capital",1903/05/10,761.5,-1,12,-2,25,10,76,E,3,N,2,,,,,,,,,,,,
1903,5,11,"SAN LUIS - Capital",1903/05/11,768.9,7.4,7,-5,14,6,57,,,,0,,,,,,,,,,,,
1903,5,12,"SAN LUIS - Capital",1903/05/12,770.4,1.5,9,2,11,5,61,,0,,0,,,,,,,,,,,,
1903,5,13,"SAN LUIS - Capital",1903/05/13,770.6,0.2,7,-2,19,5,71,,0,C,1,,,,,,,,,,,,
1903,5,14,"SAN LUIS - Capital",1903/05/14,,,7,0,20,6,71,,0,,0,,,,,,,,,,,,
1903,5,15,"SAN LUIS - Capital",1903/05/15,,,10,3,19,6,62,NE,1,C,1,,,,,,,,,,,,
1903,5,16,"SAN LUIS - Capital",1903/05/16,,,11,1,19,7,63,NE,2,S,2,,,,,,,,,,,,
1903,5,17,"SAN LUIS - Capital",1903/05/17,768.2,,10,-1,18,9,50,NE,1,K,2,,,,,,,,,,,,
1903,5,18,"SAN LUIS - Capital",1903/05/18,,,7,3,18,5,71,E,1,,0,,,,,,,,,,,,
1903,5,19,"SAN LUIS - Capital",1903/05/19,768.3,,5,-2,18,5,84,E,2,C,1,,,,,,,,,,,,
1903,5,20,"SAN LUIS - Capital",1903/05/20,767,-1.3,9,4,18,5,61,NE,1,,0,,,,,,,,,,,,
1903,5,21,"SAN LUIS - Capital",1903/05/21,767.4,0.4,9,0,19,8,61,NE,2,,0,,,,,,,,,,,,
1903,5,22,"SAN LUIS - Capital",1903/05/22,767.8,0.4,7,-2,19,6,71,N,2,,0,,,,,,,,,,,,
1903,5,23,"SAN LUIS - Capital",1903/05/23,765.6,-2.2,8,1,21,7,59,N,2,,0,,,,,,,,,,,,
1903,5,24,"SAN LUIS - Capital",1903/05/24,759.8,-5.8,,,23,7,,N,1,,0,,,,,,,,,,,,
1903,5,25,"SAN LUIS - Capital",1903/05/25,,,10,,23,9,74,N,1,C,1,,,,,,,,,,,,
1903,5,26,"SAN LUIS - Capital",1903/05/26,762.5,,8,-2,21,7,72,N,1,,0,,,,,,,,,,,,
1903,5,27,"SAN LUIS - Capital",1903/05/27,768.5,6,6,-2,20,6,56,SE,2,K,2,,,,,,,,,,,,
1903,5,28,"SAN LUIS - Capital",1903/05/28,767.3,-1.2,5,-1,13,3,84,,0,N,3,,,,,,,,,,,,
1903,5,29,"SAN LUIS - Capital",1903/05/29,766.3,-1,6,1,12,3,100,,0,N,3,,,,,,,,,,,,
1903,5,30,"SAN LUIS - Capital",1903/05/30,762.9,-3.4,10,1,13,5,100,,0,N,3,,,,,,,,,,,,
1903,5,31,"SAN LUIS - Capital",1903/05/31,763.7,0.8,11,1,17,9,87,E,1,S,3,,,,,,,,,,,,
1903,6,1,"SAN LUIS - Capital",1903/06/01,756.3,-7.4,16,5,22,11,79,E,1,K,3,,,,,,,,,,,,
1903,6,2,"SAN LUIS - Capital",1903/06/02,751.3,-5,18,2,22,15,62,N,3,S,2,,,,,,,,,,,,
1903,6,3,"SAN LUIS - Capital",1903/06/03,767.6,16.3,4,-14,20,3,83,SE,2,K,3,,,,,,,,,,,,
1903,6,4,"SAN LUIS - Capital",1903/06/04,767.7,0.1,5,1,15,0,69,NE,1,C,1,,,,,,,,,,,,
1903,6,5,"SAN LUIS - Capital",1903/06/05,766.8,-0.9,7,2,13,4,85,SW,1,C,1,,,,,,,,,,,,
1903,6,6,"SAN LUIS - Capital",1903/06/06,767.9,1.1,6,-1,16,3,85,,,C,1,,,,,,,,,,,,
1903,6,7,"SAN LUIS - Capital",1903/06/07,765.1,-2.8,5,-1,16,2,54,N,1,C,1,,,,,,,,,,,,
1903,6,8,"SAN LUIS - Capital",1903/06/08,760,-5.1,8,3,19,4,72,N,1,CS,1,,,,,,,,,,,,
1903,6,9,"SAN LUIS - Capital",1903/06/09,763.6,3.6,,,19,,86,N,1,C,1,,,,,,,,,,,,
1903,6,10,"SAN LUIS - Capital",1903/06/10,761.1,-2.5,7,,16,4,85,N,1,C,1,,,,,,,,,,,,
1903,6,11,"SAN LUIS - Capital",1903/06/11,763.2,2.1,,0,18,7,,NE,1,,0,,,,,,,,,,,,
1903,6,12,"SAN LUIS - Capital",1903/06/12,758.7,-4.5,9,,20,7,48,NE,1,,0,,,,,,,,,,,,
1903,6,13,"SAN LUIS - Capital",1903/06/13,760.6,1.9,6,-3,19,5,56,NE,1,C,1,,,,,,,,,,,,
1903,6,14,"SAN LUIS - Capital",1903/06/14,758.1,-2.5,11,5,20,6,86,,,,0,,,,,,,,,,,,
1903,6,15,"SAN LUIS - Capital",1903/06/15,758.7,0.6,11,0,17,7,41,,,,0,,,,,,,,,,,,
1903,6,16,"SAN LUIS - Capital",1903/06/16,755.7,-3,8,-3,18,7,72,NE,1,C,1,,,,,,,,,,,,
1903,6,17,"SAN LUIS - Capital",1903/06/17,756.8,1.1,10,2,20,8,86,,,C,1,,,,,,,,,,,,
1903,6,18,"SAN LUIS - Capital",1903/06/18,767.8,11,5,-5,7,4,84,,,K,2,,,,,,,,,,,,
1903,6,19,"SAN LUIS - Capital",1903/06/19,768.2,0.4,3,-2,15,1,50,N,1,,0,,,,,,,,,,,,
1903,6,20,"SAN LUIS - Capital",1903/06/20,760.9,-7.3,4,1,15,2,52,N,1,,0,,,,,,,,,,,,
1903,6,21,"SAN LUIS - Capital",1903/06/21,761.7,0.8,3,-1,18,2,83,SE,1,N,3,,,,,,,,,,,,
1903,6,22,"SAN LUIS - Capital",1903/06/22,768.1,6.4,2,-1,11,1,100,SW,1,N,1,,,,,,,,,,,,
1903,6,23,"SAN LUIS - Capital",1903/06/23,757.1,-11,4,2,12,1,67,N,1,K,2,,,,,,,,,,,,
1903,6,24,"SAN LUIS - Capital",1903/06/24,759.8,2.7,2,-2,9,2,64,N,1,C,1,,,,,,,,,,,,
1903,6,25,"SAN LUIS - Capital",1903/06/25,763.7,3.9,2,0,13,2,100,NE,1,C,1,,,,,,,,,,,,
1903,6,26,"SAN LUIS - Capital",1903/06/26,772.2,8.5,2,0,14,1,82,,0,C,1,,,,,,,,,,,,
1903,6,27,"SAN LUIS - Capital",1903/06/27,766.4,-5.8,3,1,14,0,83,,0,,0,,,,,,,,,,,,
1903,6,28,"SAN LUIS - Capital",1903/06/28,765.7,-0.7,,,15,2,,,0,C,3,,,,,,,,,,,,
1903,6,29,"SAN LUIS - Capital",1903/06/29,759.3,-6.4,7,,19,3,85,,0,C,2,,,,,,,,,,,,
1903,6,30,"SAN LUIS - Capital",1903/06/30,758.3,-1,9,2,18,5,73,NE,1,,0,,,,,,,,,,,,
1903,7,1,"SAN LUIS - Capital",1903/07/01,754.9,-3.4,11,2,20,7,87,,0,N,1,,,,,,,,,,,,
1903,7,2,"SAN LUIS - Capital",1903/07/02,763.7,8.8,8,-3,20,8,,,,N,2,,,,,,,,,,,,
1903,7,3,"SAN LUIS - Capital",1903/07/03,766.9,3.2,5,-3,12,5,84,,,C,1,,,,,,,,,,,,
1903,7,4,"SAN LUIS - Capital",1903/07/04,765.4,-1.5,6,1,15,3,70,,,C,1,,,,,,,,,,,,
1903,7,5,"SAN LUIS - Capital",1903/07/05,769.9,4.5,6,0,14,2,56,,,,0,,,,,,,,,,,,
1903,7,6,"SAN LUIS - Capital",1903/07/06,760.5,-9.4,8,2,16,2,46,NE,1,,0,,,,,,,,,,,,
1903,7,7,"SAN LUIS - Capital",1903/07/07,768.4,7.9,4,-4,19,4,52,,,,0,,,,,,,,,,,,
1903,7,8,"SAN LUIS - Capital",1903/07/08,770.4,2,,,10,,,,0,C,1,,,,,,,,,,,,
1903,7,9,"SAN LUIS - Capital",1903/07/09,768.4,-2,3,,12,-1,50,N,1,,0,,,,,,,,,,,,
1903,7,10,"SAN LUIS - Capital",1903/07/10,766.7,-1.7,2,-1,13,0,64,N,1,,0,,,,,,,,,,,,
1903,7,11,"SAN LUIS - Capital",1903/07/11,761.7,-5,5,3,,0,69,N,1,,0,,,,,,,,,,,,
1903,7,12,"SAN LUIS - Capital",1903/07/12,759.1,-2.6,,,20,5,,,0,,0,,,,,,,,,,,,
1903,7,13,"SAN LUIS - Capital",1903/07/13,768,8.9,,,19,,,,,C,1,,,,,,,,,,,,
1903,7,14,"SAN LUIS - Capital",1903/07/14,,,,,,,,,,,,,,,,,,,,,,,
1903,7,15,"SAN LUIS - Capital",1903/07/15,,,2,,11,0,64,,0,,0,,,,,,,,,,,,
1903,7,16,"SAN LUIS - Capital",1903/07/16,769.6,,0,-2,12,-2,81,,0,,0,,,,,,,,,,,,
1903,7,17,"SAN LUIS - Capital",1903/07/17,768.9,-0.7,3,3,14,0,66,,0,,0,,,,,,,,,,,,
1903,7,18,"SAN LUIS - Capital",1903/07/18,766.2,-2.7,5,2,16,3,54,,0,C,1,,,,,,,,,,,,
1903,7,19,"SAN LUIS - Capital",1903/07/19,765.4,-0.8,4,-1,18,2,67,,0,C,1,,,,,,,,,,,,
1903,7,20,"SAN LUIS - Capital",1903/07/20,765.7,0.3,7,3,16,3,71,,0,C,1,,,,,,,,,,,,
1903,7,21,"SAN LUIS - Capital",1903/07/21,768.1,2.4,7,0,17,5,71,,0,,0,,,,,,,,,,,,
1903,7,22,"SAN LUIS - Capital",1903/07/22,762.8,-5.3,13,6,18,6,88,,0,C,1,,,,,,,,,,,,
1903,7,23,"SAN LUIS - Capital",1903/07/23,764.4,1.6,9,-4,20,8,86,,0,C,1,,,,,,,,,,,,
1903,7,24,"SAN LUIS - Capital",1903/07/24,,,11,2,20,9,87,,0,C,1,,,,,,,,,,,,
1903,7,25,"SAN LUIS - Capital",1903/07/25,764.6,,8,-3,19,,86,,0,,0,,,,,,,,,,,,
1903,7,26,"SAN LUIS - Capital",1903/07/26,765.8,1.2,9,1,20,7,86,,0,N,3,,,,,,,,,,,,
1903,7,27,"SAN LUIS - Capital",1903/07/27,761.6,-4.2,8,-1,12,7,86,,0,S,3,,,,,,,,,,,,
1903,7,28,"SAN LUIS - Capital",1903/07/28,763.6,2,6,-2,9,6,100,,0,N,3,,,,,,,,,,,,
1903,7,29,"SAN LUIS - Capital",1903/07/29,759.2,-4.4,11,5,17,6,63,NE,1,C,1,,,,,,,,,,,,
1903,7,30,"SAN LUIS - Capital",1903/07/30,764.3,5.1,6,-5,12,5,70,,0,C,1,,,,,,,,,,,,
1903,7,31,"SAN LUIS - Capital",1903/07/31,,,2,-4,10,2,64,,,,0,,,,,,,,,,,,
1903,8,1,"SAN LUIS - Capital",1903/08/01,771.1,,2,0,13,0,81,,0,C,3,,,,,,,,,,,,
1903,8,2,"SAN LUIS - Capital",1903/08/02,765,-6.1,4,2,14,2,67,,0,C,2,,,,,,,,,,,,
1903,8,3,"SAN LUIS - Capital",1903/08/03,763,-2,4,0,11,4,83,,0,,0,,,,,,,,,,,,
1903,8,4,"SAN LUIS - Capital",1903/08/04,763,0,5,1,19,4,84,,0,C,1,,,,,,,,,,,,
1903,8,5,"SAN LUIS - Capital",1903/08/05,764,1,4,-1,14,3,83,,0,C,1,,,,,,,,,,,,
1903,8,6,"SAN LUIS - Capital",1903/08/06,763.9,-0.1,6,2,12,4,100,,,N,3,,,,,,,,,,,,
1903,8,7,"SAN LUIS - Capital",1903/08/07,766.4,2.5,4,-2,7,2,83,,0,,0,,,,,,,,,,,,
1903,8,8,"SAN LUIS - Capital",1903/08/08,,,,,13,2,46,N,1,,0,,,,,,,,,,,,
1903,8,9,"SAN LUIS - Capital",1903/08/09,764.4,,8,,16,6,46,,,,0,,,,,,,,,,,,
1903,8,10,"SAN LUIS - Capital",1903/08/10,,,,,,,,,,,,,,,,,,,,,,,
1903,8,11,"SAN LUIS - Capital",1903/08/11,,,,,15,4,,,0,,0,,,,,,,,,,,,
1903,8,12,"SAN LUIS - Capital",1903/08/12,762.5,,4,,19,3,83,,,C,1,,,,,,,,,,,,
